year,month,day,wind_installed_capacity,pv_installed_capacity,csp_installed_capacity,other_re_installed_capacity,total_re_installed_capacity,installed_eskom_capacity
2018,4,1,1474.19,300,21.78,3873.69,44546,3987.472
2018,4,1,1474.19,300,21.78,3873.69,44546,3987.472
2018,4,1,1474.19,300,21.78,3873.69,44546,3987.472
2018,4,1,1474.19,300,21.78,3873.69,44546,3990.072
2018,4,1,1474.19,300,21.78,3873.69,44546,3990.472
2018,4,1,1474.19,300,21.78,3873.69,44546,4017.139
2018,4,1,1474.19,300,21.78,3873.69,44546,4054.472
2018,4,1,1474.19,300,21.78,3873.69,44546,4639.472
2018,4,1,1474.19,300,21.78,3873.69,44546,4639.472
2018,4,1,1474.19,300,21.78,3873.69,44546,4639.472
2018,4,1,1474.19,300,21.78,3873.69,44546,4639.472
2018,4,1,1474.19,300,21.78,3873.69,44546,4639.472
2018,4,1,1474.19,300,21.78,3873.69,44546,4639.472
2018,4,1,1474.19,300,21.78,3873.69,44546,4639.472
2018,4,1,1474.19,300,21.78,3873.69,44546,4639.472
2018,4,1,1474.19,300,21.78,3873.69,44546,4559.522
2018,4,1,1474.19,300,21.78,3873.69,44546,4504.236
2018,4,1,1474.19,300,21.78,3873.69,44546,4472
2018,4,1,1474.19,300,21.78,3873.69,44546,4472
2018,4,1,1474.19,300,21.78,3873.69,44546,4312.75
2018,4,1,1474.19,300,21.78,3873.69,44546,4277
2018,4,1,1474.19,300,21.78,3873.69,44546,4277
2018,4,1,1474.19,300,21.78,3873.69,44546,4277
2018,4,1,1474.19,300,21.78,3873.69,44546,4277
2018,4,2,1474.19,300,21.78,3873.69,44546,3641.9
2018,4,2,1474.19,300,21.78,3873.69,44546,3620
2018,4,2,1474.19,300,21.78,3873.69,44546,3620
2018,4,2,1474.19,300,21.78,3873.69,44546,3620
2018,4,2,1474.19,300,21.78,3873.69,44546,3620
2018,4,2,1474.19,300,21.78,3873.69,44546,3620
2018,4,2,1474.19,300,21.78,3873.69,44546,3620
2018,4,2,1474.19,300,21.78,3873.69,44546,3620
2018,4,2,1474.19,300,21.78,3873.69,44546,3620
2018,4,2,1474.19,300,21.78,3873.69,44546,3620
2018,4,2,1474.19,300,21.78,3873.69,44546,3620
2018,4,2,1474.19,300,21.78,3873.69,44546,3620
2018,4,2,1474.19,300,21.78,3873.69,44546,3620
2018,4,2,1474.19,300,21.78,3873.69,44546,3620
2018,4,2,1474.19,300,21.78,3873.69,44546,3620
2018,4,2,1474.19,300,21.78,3873.69,44546,3620
2018,4,2,1474.19,300,21.78,3873.69,44546,3620
2018,4,2,1474.19,300,21.78,3873.69,44546,3620
2018,4,2,1474.19,300,21.78,3873.69,44546,3620
2018,4,2,1474.19,300,21.78,3873.69,44546,3620
2018,4,2,1474.19,300,21.78,3873.69,44546,3620
2018,4,2,1474.19,300,21.78,3873.69,44546,3620
2018,4,2,1474.19,300,21.78,3873.69,44546,3620
2018,4,2,1474.19,300,21.78,3873.69,44546,3620
2018,4,3,1474.19,300,21.78,3873.69,44546,3620
2018,4,3,1474.19,300,21.78,3873.69,44546,3620
2018,4,3,1474.19,300,21.78,3873.69,44546,3620
2018,4,3,1474.19,300,21.78,3873.69,44546,3620
2018,4,3,1474.19,300,21.78,3873.69,44546,3620
2018,4,3,1474.19,300,21.78,3873.69,44546,3620
2018,4,3,1474.19,300,21.78,3873.69,44546,3620
2018,4,3,1474.19,300,21.78,3873.69,44546,3620
2018,4,3,1474.19,300,21.78,3873.69,44546,3553.5
2018,4,3,1474.19,300,21.78,3873.69,44546,3430
2018,4,3,1474.19,300,21.78,3873.69,44546,3430
2018,4,3,1474.19,300,21.78,3873.69,44546,3430
2018,4,3,1474.19,300,21.78,3873.69,44546,3430
2018,4,3,1474.19,300,21.78,3873.69,44546,3430
2018,4,3,1474.19,300,21.78,3873.69,44546,3430
2018,4,3,1474.19,300,21.78,3873.69,44546,3430
2018,4,3,1474.19,300,21.78,3873.69,44546,3430
2018,4,3,1474.19,300,21.78,3873.69,44546,3430
2018,4,3,1474.19,300,21.78,3873.69,44546,3430
2018,4,3,1474.19,300,21.78,3873.69,44546,3430
2018,4,3,1474.19,300,21.78,3873.69,44546,3430
2018,4,3,1474.19,300,21.78,3873.69,44546,3430
2018,4,3,1474.19,300,21.78,3873.69,44546,3430
2018,4,3,1474.19,300,21.78,3873.69,44546,3430
2018,4,4,1474.19,300,21.78,3873.69,44546,3430
2018,4,4,1474.19,300,21.78,3873.69,44546,3430
2018,4,4,1474.19,300,21.78,3873.69,44546,3430
2018,4,4,1474.19,300,21.78,3873.69,44546,3430
