month_name,day_name,year,month,hour,day,stage
Aug,Thursday ,2022,8,23,4,0
Aug,Thursday ,2022,8,16,4,2
Aug,Thursday ,2022,8,0,4,0
Aug,Wednesday,2022,8,16,3,2
Aug,Wednesday,2022,8,0,3,0
Aug,Tuesday  ,2022,8,16,2,2
Aug,Saturday ,2022,8,21,6,0
Aug,Saturday ,2022,8,21,6,0
Aug,Saturday ,2022,8,15,6,2
Aug,Saturday ,2022,8,0,6,0
Aug,Friday   ,2022,8,5,5,2
Aug,Friday   ,2022,8,0,5,0
Aug,Thursday ,2022,8,16,4,4
Aug,Thursday ,2022,8,5,4,2
Aug,Thursday ,2022,8,0,4,0
Aug,Wednesday,2022,8,16,3,2
Jul,Saturday ,2022,7,0,6,0
Jul,Friday   ,2022,7,16,5,1
Jul,Friday   ,2022,7,0,5,0
Jul,Thursday ,2022,7,16,4,2
Jul,Thursday ,2022,7,0,4,0
Jul,Wednesday,2022,7,16,3,2
Jul,Wednesday,2022,7,0,3,0
Jul,Tuesday  ,2022,7,16,2,2
Jul,Tuesday  ,2022,7,0,2,0
Jul,Monday   ,2022,7,16,1,2
Jul,Monday   ,2022,7,0,1,0
Jul,Sunday   ,2022,7,16,7,2
Jul,Sunday   ,2022,7,0,7,0
Jul,Saturday ,2022,7,16,6,2
Jul,Saturday ,2022,7,0,6,0
Jul,Friday   ,2022,7,5,5,3
Jul,Friday   ,2022,7,0,5,0
Jul,Thursday ,2022,7,16,4,4
Jul,Thursday ,2022,7,5,4,3
Jul,Thursday ,2022,7,0,4,1
Jul,Wednesday,2022,7,5,3,3
Jul,Wednesday,2022,7,0,3,2
Jul,Tuesday  ,2022,7,5,2,4
Jul,Tuesday  ,2022,7,0,2,2
Jul,Monday   ,2022,7,4,1,4
Jul,Monday   ,2022,7,0,1,2
Jul,Sunday   ,2022,7,16,7,4
Jul,Sunday   ,2022,7,7,7,3
Jul,Sunday   ,2022,7,0,7,2
Jul,Saturday ,2022,7,7,6,3
Jul,Friday   ,2022,7,23,5,2
Jul,Friday   ,2022,7,5,5,4
Jul,Friday   ,2022,7,0,5,2
Jul,Thursday ,2022,7,22,4,4
Jul,Thursday ,2022,7,15,4,5
Jul,Thursday ,2022,7,5,4,4
Jul,Thursday ,2022,7,0,4,2
Jul,Wednesday,2022,7,22,3,4
Jul,Wednesday,2022,7,15,3,5
Jul,Wednesday,2022,7,5,3,4
Jul,Tuesday  ,2022,7,23,2,2
Jul,Tuesday  ,2022,7,22,2,4
Jul,Tuesday  ,2022,7,15,2,5
Jul,Tuesday  ,2022,7,5,2,4
Jul,Tuesday  ,2022,7,0,2,2
Jul,Monday   ,2022,7,22,1,4
Jul,Monday   ,2022,7,16,1,6
Jul,Monday   ,2022,7,5,1,4
Jul,Monday   ,2022,7,0,1,2
Jul,Sunday   ,2022,7,6,7,4
Jul,Saturday ,2022,7,22,6,2
Jul,Saturday ,2022,7,6,6,4
Jul,Friday   ,2022,7,22,5,2
Jul,Friday   ,2022,7,0,5,4
Jun,Thursday ,2022,6,14,4,6
Jun,Thursday ,2022,6,4,4,4
Jun,Wednesday,2022,6,23,3,2
Jun,Wednesday,2022,6,21,3,4
Jun,Wednesday,2022,6,16,3,6
Jun,Wednesday,2022,6,4,3,4
Jun,Tuesday  ,2022,6,23,2,2
Jun,Tuesday  ,2022,6,21,2,4
Jun,Tuesday  ,2022,6,16,2,6
Jun,Tuesday  ,2022,6,5,2,4
Jun,Tuesday  ,2022,6,0,2,0
Jun,Monday   ,2022,6,5,1,4
Jun,Monday   ,2022,6,0,1,0
Jun,Sunday   ,2022,6,5,7,4
Jun,Sunday   ,2022,6,0,7,0
Jun,Saturday ,2022,6,5,6,4
Jun,Saturday ,2022,6,0,6,0
Jun,Friday   ,2022,6,11,5,4
Jun,Friday   ,2022,6,5,5,2
Jun,Friday   ,2022,6,0,5,0
Jun,Thursday ,2022,6,5,4,2
Jun,Thursday ,2022,6,0,4,0
Jun,Wednesday,2022,6,10,3,2
Jun,Tuesday  ,2022,6,22,2,0
Jun,Tuesday  ,2022,6,17,2,2
Jun,Monday   ,2022,6,22,1,0
Jun,Monday   ,2022,6,17,1,2
May,Monday   ,2022,5,21,1,0
May,Monday   ,2022,5,16,1,2
May,Saturday ,2022,5,22,6,0
May,Saturday ,2022,5,17,6,1
May,Friday   ,2022,5,22,5,0
May,Friday   ,2022,5,16,5,2
May,Thursday ,2022,5,22,4,0
May,Thursday ,2022,5,17,4,2
May,Wednesday,2022,5,22,3,0
May,Wednesday,2022,5,17,3,2
May,Tuesday  ,2022,5,22,2,0
May,Tuesday  ,2022,5,17,2,2
May,Monday   ,2022,5,22,1,0
May,Monday   ,2022,5,17,1,2
May,Sunday   ,2022,5,21,7,0
May,Sunday   ,2022,5,16,7,3
May,Sunday   ,2022,5,8,7,2
May,Saturday ,2022,5,22,6,0
May,Saturday ,2022,5,13,6,4
May,Saturday ,2022,5,8,6,2
