year,month,day,date_time_hour_beginning,residual_demand,rsa_contracted_demand
2018,4,1,2018-04-01,20237,20722.058
2018,4,1,2018-04-01,19744,20188.493
2018,4,1,2018-04-01,19631,20019.603
2018,4,1,2018-04-01,19731,20079.454
2018,4,1,2018-04-01,19890,20237.49
2018,4,1,2018-04-01,20372,20729.45
2018,4,1,2018-04-01,21280,21636.397
2018,4,1,2018-04-01,22651,23317.205
2018,4,1,2018-04-01,23677,24814.033
2018,4,1,2018-04-01,24053,25485.461
2018,4,1,2018-04-01,23708,25410.147
2018,4,1,2018-04-01,23637.5,25441.002
2018,4,1,2018-04-01,23308.5,25127.191
2018,4,1,2018-04-01,22264,24028.863
2018,4,1,2018-04-01,21625,23449.222
2018,4,1,2018-04-01,21510,23279.236
2018,4,1,2018-04-01,21739,23361.206
2018,4,1,2018-04-01,23074,24243.66
2018,4,1,2018-04-01,25017,25859.329
2018,4,1,2018-04-01,24863,25596.216
2018,4,1,2018-04-01,23245,23971.261
2018,4,1,2018-04-01,21670,22275.372
2018,4,1,2018-04-01,20598,21085.547
2018,4,1,2018-04-01,19644,20145.396
2018,4,2,2018-04-02,19151,19545.296
2018,4,2,2018-04-02,18952,19314.7
2018,4,2,2018-04-02,18742,19074.827
2018,4,2,2018-04-02,18894,19217.768
2018,4,2,2018-04-02,18844,19308.717
2018,4,2,2018-04-02,19219,19922.751
2018,4,2,2018-04-02,19840,20612.493
2018,4,2,2018-04-02,21464,22360.386
2018,4,2,2018-04-02,22940,24094.921
2018,4,2,2018-04-02,23878,25168.768
2018,4,2,2018-04-02,23934,25394.726
2018,4,2,2018-04-02,23597,25265.869
2018,4,2,2018-04-02,23253,25083.842
2018,4,2,2018-04-02,22645,24619.492
2018,4,2,2018-04-02,22430,24342.784
2018,4,2,2018-04-02,22907,24503.364
2018,4,2,2018-04-02,23376,24992.523
2018,4,2,2018-04-02,24562,26231.695
2018,4,2,2018-04-02,26561,27973.787
2018,4,2,2018-04-02,26128,27375.821
2018,4,2,2018-04-02,24512,25351.975
2018,4,2,2018-04-02,22637,23370.451
2018,4,2,2018-04-02,20896,21480.533
2018,4,2,2018-04-02,20075,20571.356
2018,4,3,2018-04-03,19476,19930.973
2018,4,3,2018-04-03,19231,19696.723
2018,4,3,2018-04-03,19030,19524.501
2018,4,3,2018-04-03,19277,19760.252
2018,4,3,2018-04-03,20204,20652.54
2018,4,3,2018-04-03,22016,22432.843
2018,4,3,2018-04-03,23865,24267.36
2018,4,3,2018-04-03,25135,25704.68
2018,4,3,2018-04-03,26167,27113.829
2018,4,3,2018-04-03,26302,27452.476
2018,4,3,2018-04-03,26430,27785.502
2018,4,3,2018-04-03,26250.011,27710.82
2018,4,3,2018-04-03,26360,27737.65
2018,4,3,2018-04-03,26416,27816.326
2018,4,3,2018-04-03,26602,27930.134
2018,4,3,2018-04-03,27263,28363.151
2018,4,3,2018-04-03,27725,28567.759
2018,4,3,2018-04-03,28476,29120.983
2018,4,3,2018-04-03,29830.5,30382.315
2018,4,3,2018-04-03,29067,29686.038
2018,4,3,2018-04-03,27239.5,27829.099
2018,4,3,2018-04-03,24966,25572.462
2018,4,3,2018-04-03,23022,23564.987
2018,4,3,2018-04-03,22009,22490.623
2018,4,4,2018-04-04,21211,21564.373
2018,4,4,2018-04-04,20725,21107.459
2018,4,4,2018-04-04,20765,21139.457
2018,4,4,2018-04-04,21065,21387.4
2018,4,4,2018-04-04,21996,22279.177
2018,4,4,2018-04-04,23896,24188.766
2018,4,4,2018-04-04,25340,25558.276
2018,4,4,2018-04-04,26298,26621.373
2018,4,4,2018-04-04,27527,27929.286
2018,4,4,2018-04-04,27643,28164.702
2018,4,4,2018-04-04,27884,28506.479
2018,4,4,2018-04-04,27649,28292.411
2018,4,4,2018-04-04,27428,28055.145
2018,4,4,2018-04-04,27145,27941.801
2018,4,4,2018-04-04,27337,28009.587
2018,4,4,2018-04-04,27653,28338.335
2018,4,4,2018-04-04,28036,28579.273
2018,4,4,2018-04-04,28682,29088.011
2018,4,4,2018-04-04,30276,30610.867
2018,4,4,2018-04-04,29270,29657.328
2018,4,4,2018-04-04,27306,27590.092
2018,4,4,2018-04-04,25459,25673.284
2018,4,4,2018-04-04,23632,23793.005
2018,4,4,2018-04-04,22234,22390.699
2018,4,5,2018-04-05,21323,21670.889
2018,4,5,2018-04-05,20890,21366.559
2018,4,5,2018-04-05,20895,21410.075
2018,4,5,2018-04-05,21065,21546.487
2018,4,5,2018-04-05,22072,22498.045
2018,4,5,2018-04-05,24117,24468.51
2018,4,5,2018-04-05,25667,25960.833
2018,4,5,2018-04-05,26692,27109.988
2018,4,5,2018-04-05,27647,28308.494
2018,4,5,2018-04-05,27441,28466.421
2018,4,5,2018-04-05,27427,28769.008
2018,4,5,2018-04-05,27393,28789.938
2018,4,5,2018-04-05,27019.382,28522.465
2018,4,5,2018-04-05,26888.796,28373.476
2018,4,5,2018-04-05,27505.089,29008.487
2018,4,5,2018-04-05,27893,29211.543
2018,4,5,2018-04-05,28392,29495.635
2018,4,5,2018-04-05,29155,29984.159
2018,4,5,2018-04-05,30896,31484.309
2018,4,5,2018-04-05,29993,30538.818
2018,4,5,2018-04-05,27920,28367.179
2018,4,5,2018-04-05,25753,26164.9
2018,4,5,2018-04-05,23611,23988.043
2018,4,5,2018-04-05,22408,22861.701
2018,4,6,2018-04-06,21561.516,22121.264
2018,4,6,2018-04-06,21058,21677.452
2018,4,6,2018-04-06,20836,21511.903
2018,4,6,2018-04-06,21031,21879.577
2018,4,6,2018-04-06,21966,22825.18
2018,4,6,2018-04-06,24047,24925.4
2018,4,6,2018-04-06,25659,26556.431
2018,4,6,2018-04-06,26674.484,27830.958
2018,4,6,2018-04-06,27590,28999.595
2018,4,6,2018-04-06,27336,29086.407
2018,4,6,2018-04-06,27158,29330.762
2018,4,6,2018-04-06,27128,29513.286
2018,4,6,2018-04-06,26740,29134.655
2018,4,6,2018-04-06,26428,28701.362
2018,4,6,2018-04-06,26148,28264.633
2018,4,6,2018-04-06,25986,28106.014
2018,4,6,2018-04-06,26283,28198.116
2018,4,6,2018-04-06,27103,28453.842
2018,4,6,2018-04-06,29147.2,30062.399
2018,4,6,2018-04-06,28802.54,29577.464
2018,4,6,2018-04-06,27212.67,27990.099
2018,4,6,2018-04-06,25501.67,26158.639
2018,4,6,2018-04-06,24012.54,24480.957
2018,4,6,2018-04-06,22916.54,23332.841
2018,4,7,2018-04-07,22196.54,22489.713
2018,4,7,2018-04-07,21688.54,21947.056
2018,4,7,2018-04-07,21597.54,21870.22
2018,4,7,2018-04-07,21674.67,21963.879
2018,4,7,2018-04-07,21871.67,22193.399
2018,4,7,2018-04-07,22792.67,23086.21
2018,4,7,2018-04-07,23976.67,24300.634
2018,4,7,2018-04-07,25479.54,26029.291
2018,4,7,2018-04-07,26742.54,27764.842
2018,4,7,2018-04-07,26652.8,27955.694
2018,4,7,2018-04-07,26294.67,27798.549
2018,4,7,2018-04-07,25749.67,27502.46
2018,4,7,2018-04-07,25301.67,27312.592
2018,4,7,2018-04-07,24621.8,26929.977
2018,4,7,2018-04-07,24000.54,26404.489
2018,4,7,2018-04-07,23987.67,26294.214
2018,4,7,2018-04-07,24247.67,26347.137
2018,4,7,2018-04-07,25411.67,27067.373
2018,4,7,2018-04-07,27502.67,28758.6
2018,4,7,2018-04-07,26922.67,28219.369
2018,4,7,2018-04-07,25234.04,26517.348
2018,4,7,2018-04-07,23566.8,24685.855
2018,4,7,2018-04-07,22381.54,23230.59
2018,4,7,2018-04-07,21213.337,22036.449
2018,4,8,2018-04-08,20465.54,21259.344
2018,4,8,2018-04-08,20230.67,20978.919
2018,4,8,2018-04-08,20180.54,20875.542
2018,4,8,2018-04-08,20313.54,20947.965
2018,4,8,2018-04-08,20576.67,21134.974
2018,4,8,2018-04-08,21254.54,21805.716
2018,4,8,2018-04-08,22370.8,22911.378
2018,4,8,2018-04-08,24414.54,25111.607
2018,4,8,2018-04-08,25767.67,26865.938
2018,4,8,2018-04-08,25773.67,27271.552
2018,4,8,2018-04-08,25206.54,26890.568
2018,4,8,2018-04-08,25082.67,26831.915
2018,4,8,2018-04-08,24588.67,26400.948
2018,4,8,2018-04-08,24344.54,26151.517
2018,4,8,2018-04-08,24021.8,25805.928
2018,4,8,2018-04-08,23861.8,25525.209
2018,4,8,2018-04-08,24321.54,25910.587
2018,4,8,2018-04-08,25393.8,26778.147
2018,4,8,2018-04-08,27466.54,28722.942
2018,4,8,2018-04-08,27072.67,28181.107
2018,4,8,2018-04-08,25364.8,26328.18
2018,4,8,2018-04-08,23261.67,24241.398
2018,4,8,2018-04-08,21802.54,22713.594
2018,4,8,2018-04-08,20866.8,21684.001
2018,4,9,2018-04-09,20430.54,21226.594
2018,4,9,2018-04-09,20181.8,20928.148
2018,4,9,2018-04-09,20086.54,20836.445
2018,4,9,2018-04-09,20272.67,21058.664
2018,4,9,2018-04-09,21276.67,22062.869
2018,4,9,2018-04-09,23193.67,24117.722
2018,4,9,2018-04-09,24779.54,25787.142
2018,4,9,2018-04-09,25945.67,27030.622
2018,4,9,2018-04-09,27506.8,28653.829
2018,4,9,2018-04-09,27629.604,29130.835
2018,4,9,2018-04-09,27682.805,29430.477
2018,4,9,2018-04-09,27583.738,29434.236
2018,4,9,2018-04-09,27363.67,29330.185
2018,4,9,2018-04-09,27138.94,29226.067
2018,4,9,2018-04-09,26950.54,29175.785
2018,4,9,2018-04-09,27010.8,29324.884
2018,4,9,2018-04-09,27487.67,29722.188
2018,4,9,2018-04-09,28514.262,30459.569
2018,4,9,2018-04-09,30442.043,32080.727
2018,4,9,2018-04-09,29156.619,30787.141
2018,4,9,2018-04-09,27156.19,28734.867
2018,4,9,2018-04-09,25021.67,26255.948
2018,4,9,2018-04-09,23450.8,24163.665
2018,4,9,2018-04-09,22301.54,22795.804
2018,4,10,2018-04-10,21695.67,22267.713
2018,4,10,2018-04-10,21470.67,22053.654
2018,4,10,2018-04-10,21394.67,22039.596
2018,4,10,2018-04-10,21602.67,22225.041
2018,4,10,2018-04-10,23016.67,23631.771
2018,4,10,2018-04-10,26098.67,26599.302
2018,4,10,2018-04-10,28117.54,28611.554
2018,4,10,2018-04-10,27230.8,27786.118
2018,4,10,2018-04-10,27351.54,28191.972
2018,4,10,2018-04-10,26876.036,28123.073
2018,4,10,2018-04-10,26807.003,28271.248
2018,4,10,2018-04-10,26842.06,28463.128
2018,4,10,2018-04-10,26476.166,28221.773
2018,4,10,2018-04-10,26381.999,28227.965
2018,4,10,2018-04-10,26551.082,28513.95
2018,4,10,2018-04-10,27333.788,29049.298
2018,4,10,2018-04-10,27970.579,29451.99
2018,4,10,2018-04-10,29081.56,30392.705
2018,4,10,2018-04-10,30743.154,31864.695
2018,4,10,2018-04-10,29479.011,30531.128
2018,4,10,2018-04-10,26920.891,27943.737
2018,4,10,2018-04-10,24381.4,25319.361
2018,4,10,2018-04-10,22688.27,23442.765
